GO ID	Reactome Verb
70536*	deubiquitinates
0004170	di-dephosphorylates
0004427	di-dephosphorylates
0004551	di-dephosphorylates
0017110	di-dephosphorylates
0035870	di-dephosphorylates
0036220	di-dephosphorylates
0047631	di-dephosphorylates
0052840	di-dephosphorylates
0052841	di-dephosphorylates
0052842	di-dephosphorylates
0090450	di-dephosphorylates
0097383	di-dephosphorylates
0000334	dioxygenates
0003868	dioxygenates
0004051	dioxygenates
0004052	dioxygenates
0004411	dioxygenates
0004656	dioxygenates
0004833	dioxygenates
0008336	dioxygenates
0008475	dioxygenates
0008941	dioxygenates
0010309	dioxygenates
0017172	dioxygenates
0019797	dioxygenates
0031545	dioxygenates
0043734	dioxygenates
0045549	dioxygenates
0048244	dioxygenates
0050313	dioxygenates
0050353	dioxygenates
0050473	dioxygenates
0004784	dismutates
0003746	elongates
0009922	elongates
0008392	epoxygenates
0005432	exchanges
0015368	exchanges
0005085	exchanges 
0005087	exchanges 
0005088	exchanges 
0005089	exchanges 
0005276	exchanges 
0005452	exchanges 
0008273	exchanges 
0008321	exchanges 
0015301	exchanges 
0015307	exchanges 
0015367	exchanges 
0015385	exchanges 
0017034	exchanges 
0030676	exchanges 
0051139	exchanges 
0003720	extends
0034202	flips
0003994	hydrates
0004300	hydrates
0004333	hydrates
0004490	hydrates
0004634	hydrates
0016153	hydrates
0016508	hydrates
0033989	hydrates
0000016	hydrolyses
0003837	hydrolyses
0003860	hydrolyses
0003922	hydrolyses
0003924	hydrolyses
0003934	hydrolyses
0003937	hydrolyses
0003940	hydrolyses
0003952	hydrolyses
0003986	hydrolyses
0003990	hydrolyses
0004013	hydrolyses
0004053	hydrolyses
0004061	hydrolyses
0004066	hydrolyses
0004088	hydrolyses
0004104	hydrolyses
0004114	hydrolyses
0004115	hydrolyses
0004117	hydrolyses
0004135	hydrolyses
0004157	hydrolyses
0004221	hydrolyses
0004301	hydrolyses
0004308	hydrolyses
0004334	hydrolyses
0004336	hydrolyses
0004348	hydrolyses
0004359	hydrolyses
0004415	hydrolyses
0004435	hydrolyses
0004463	hydrolyses
0004465	hydrolyses
0004477	hydrolyses
0004555	hydrolyses
0004556	hydrolyses
0004557	hydrolyses
0004558	hydrolyses
0004559	hydrolyses
0004561	hydrolyses
0004563	hydrolyses
0004565	hydrolyses
0004566	hydrolyses
0004569	hydrolyses
0004571	hydrolyses
0004572	hydrolyses
0004573	hydrolyses
0004575	hydrolyses
0004622	hydrolyses
0004623	hydrolyses
0004629	hydrolyses
0004630	hydrolyses
0004668	hydrolyses
0004767	hydrolyses
0004771	hydrolyses
0004806	hydrolyses
0008474	hydrolyses
0008783	hydrolyses
0008889	hydrolyses
0008892	hydrolyses
0008936	hydrolyses
0008970	hydrolyses
0016250	hydrolyses
0016289	hydrolyses
0016298	hydrolyses
0016787	hydrolyses
0016788	hydrolyses
0016798	hydrolyses
0016810	hydrolyses
0016811	hydrolyses
0016812	hydrolyses
0017040	hydrolyses
0017057	hydrolyses
0017168	hydrolyses
0019785	hydrolyses
0030429	hydrolyses
0033919	hydrolyses
0033942	hydrolyses
